City ID,City Name,Country,Date,Humidity,Latitude,Longitude,Max Temp,Cloudiness,Wind Speed
3840300,Presidencia Roque Saenz Pena,AR,1572044295,52,-26.79,-60.44,73.4,17,9.46
3906466,Riberalta,BO,1572044296,59,-11.0,-66.08,91.4,75,4.29
1185251,Lalmohan,BD,1572044298,96,22.34,90.74,75.54,100,4.0
4034551,Faanui,PF,1572044299,70,-16.48,-151.75,79.57,0,14.14
1633419,Padang,ID,1572044301,94,-0.92,100.36,68.4,73,1.34
1806466,Guangyuan,CN,1572044303,87,32.43,105.86,45.03,100,6.55
5735238,Klamath Falls,US,1572044304,22,42.22,-121.78,73.0,1,10.22
3399518,Floresta,BR,1572044306,59,-8.6,-38.57,76.35,17,18.77
5880568,Bethel,US,1572044308,86,60.79,-161.76,33.8,90,12.75
546105,Nikolskoye,RU,1572044309,76,59.7,30.79,54.0,75,11.18
3443061,Chuy,UY,1572044311,83,-33.69,-53.46,63.03,0,5.14
2111530,Ofunato,JP,1572044312,77,39.11,141.75,62.6,40,13.87
1264976,Leh,IN,1572044314,47,34.16,77.58,23.41,48,4.54
3381538,Grand-Santi,GF,1572044316,89,4.27,-54.38,75.49,71,3.11
2012938,Yerofey Pavlovich,RU,1572044318,83,53.97,121.97,19.47,54,0.85
1174167,Khanpur,PK,1572044319,22,28.65,70.66,75.6,0,6.11
6166739,Timmins,CA,1572044321,44,48.48,-81.33,39.2,75,3.36
1014034,Carnarvon,ZA,1572044322,58,-30.97,22.13,54.32,26,7.63
3455065,Paranaiba,BR,1572044324,36,-19.68,-51.19,84.25,44,4.07
588365,Vao,EE,1572044326,84,59.1,26.19,47.95,3,14.16
1056386,Soanierana Ivongo,MG,1572044327,93,-16.92,49.59,66.9,25,3.11
587826,Kanepi,EE,1572044329,76,57.98,26.76,53.6,20,17.22
3571913,Marsh Harbour,BS,1572044330,79,26.54,-77.06,80.35,40,16.53
1582886,Dong Hoi,VN,1572044332,88,17.48,106.6,76.35,71,2.55
1174872,Karachi,PK,1572044145,38,24.87,67.03,75.2,0,9.17
5380437,Pacific Grove,US,1572044335,24,36.62,-121.92,93.2,1,6.93
53157,Qandala,SO,1572044337,55,11.47,49.87,77.77,100,1.83
934322,Mahebourg,MU,1572044339,94,-20.41,57.7,72.0,20,3.36
1784841,Zhaotong,CN,1572044340,97,27.34,103.71,43.59,100,5.32
1630789,Pontianak,ID,1572044342,94,-0.02,109.34,73.4,40,3.18
3026644,Souillac,FR,1572044344,93,45.6,-0.6,57.0,17,5.82
1507390,Dikson,RU,1572044345,90,73.51,80.55,16.75,88,3.6
3373652,Oistins,BB,1572044347,74,13.07,-59.53,82.4,40,10.29
4501427,Port Elizabeth,US,1572044348,82,39.31,-74.98,64.4,1,3.2
2737599,Saldanha,PT,1572044350,68,41.42,-6.55,53.73,0,2.53
3387663,Sertania,BR,1572044352,62,-8.07,-37.26,71.15,28,7.63
3369157,Cape Town,ZA,1572044353,98,-33.93,18.42,57.0,79,3.0
1852357,Shimoda,JP,1572044355,100,34.7,138.93,60.01,75,4.7
2995603,Saint-Pierre,FR,1572044356,93,48.95,4.24,55.4,20,10.29
1733782,Victoria,BN,1572044358,94,5.28,115.24,78.8,75,8.63
3450554,Salvador,BR,1572044196,74,-12.98,-38.48,80.6,20,12.75
4639848,Maryville,US,1572044361,100,35.76,-83.97,57.2,90,11.27
1053384,Toamasina,MG,1572044363,94,-18.17,49.38,69.8,20,6.93
5909514,Brooks,CA,1572044365,58,50.57,-111.89,50.0,58,27.0
3994469,Ojinaga,US,1572044366,20,29.56,-104.41,62.6,1,3.36
4231997,Avera,US,1572044368,73,33.19,-82.53,77.0,90,9.17
1651810,Airai,TL,1572044369,31,-8.93,125.41,80.62,2,5.57
877702,Nachingwea,TZ,1572044371,89,-10.37,38.76,70.18,4,3.53
5989403,Kapuskasing,CA,1572044373,60,49.42,-82.43,39.2,90,6.93
103630,Najran,SA,1572044374,24,17.54,44.22,68.0,1,4.7
1244926,Hambantota,LK,1572044376,80,6.12,81.12,80.87,100,17.07
3530097,Champerico,MX,1572044377,69,16.38,-93.6,80.6,75,18.34
2067119,Mandurah,AU,1572044379,100,-32.55,115.7,62.01,0,3.36
2126710,Beringovskiy,RU,1572044381,90,63.05,179.32,18.68,64,26.55
1241622,Wattegama,LK,1572044382,93,7.35,80.68,70.29,84,2.82
2447513,Arlit,NE,1572044384,12,18.74,7.39,83.71,0,12.26
